"DECODE(AA.BUREAU_CODE,'1','浦?","COUNT(*)"
"中区","17230"
"","5"
"嘉定","55510"
"松江","56790"
"西区","60390"
"南区","29463"
"浦东","95923"
"金山","20952"
"北区","47571"
"崇明","18607"
"宝山","38161"
"奉贤","32974"
"青浦","35768"
"专用","18"
"东区","47000"
"莘闵","69057"
"南汇","44176"
"机场","42"
