"DECODE(AA.BUREAU_CODE,'1','浦?","COUNT(*)"
"中区","20271"
"","1"
"嘉定","40756"
"西区","69148"
"松江","60966"
"北区","63097"
"浦东","112128"
"南区","30929"
"金山","19178"
"崇明","12451"
"奉贤","23946"
"宝山","49335"
"青浦","25890"
"专用","16"
"莘闵","86864"
"东区","55843"
"南汇","40470"
"机场","118"
