"DECODE(AA.BUREAU_CODE,'1','浦?","COUNT(*)"
"中区","21721"
"西区","74155"
"松江","55306"
"嘉定","50525"
"北区","63271"
"南区","35427"
"浦东","151370"
"金山","18259"
"崇明","12688"
"青浦","37044"
"奉贤","28013"
"宝山","49673"
"专用","24"
"东区","61658"
"南汇","48651"
"莘闵","84861"
"机场","32"
