"DECODE(AA.BUREAU_CODE,'1','浦?","COUNT(*)"
"中区","18237"
"松江","64695"
"西区","55192"
"嘉定","67991"
"浦东","100012"
"金山","30088"
"北区","51279"
"崇明","34231"
"南区","27422"
"宝山","42408"
"奉贤","46987"
"青浦","52294"
"专用","18"
"莘闵","67434"
"南汇","56715"
"东区","54125"
"机场","17"
