"DECODE(AA.BUREAU_CODE,'1','浦?","COUNT(*)"
"中区","17471"
"","5"
"嘉定","55850"
"松江","56960"
"西区","60893"
"南区","29617"
"浦东","96575"
"金山","21000"
"北区","47903"
"崇明","18642"
"宝山","38456"
"奉贤","33132"
"青浦","35920"
"专用","18"
"东区","47191"
"莘闵","69693"
"南汇","44607"
"机场","42"
