"DECODE(AA.BUREAU_CODE,'1','浦?","COUNT(*)"
"中区","20537"
"","1"
"嘉定","41581"
"西区","70258"
"松江","61517"
"北区","64052"
"浦东","113875"
"南区","31371"
"金山","19364"
"崇明","13109"
"奉贤","24368"
"宝山","50195"
"青浦","26249"
"专用","19"
"莘闵","88110"
"东区","56535"
"南汇","41444"
"机场","118"
